Jahr;Monat;Temperatur
2010;Januar;21,9
2010;Februar;26,7
2010;März;41,7
2010;April;54,6
2010;Mai;61,7
2010;Juni;71,2
2010;Juli;77,6
2010;August;76,7
2010;September;65,1
2010;Oktober;56
2010;November;41,5
2010;Dezember;22,5
2011;Januar;20,6
2011;Februar;26,2
2011;März;36,3
2011;April;47,7
2011;Mai;57,9
2011;Juni;69,5
2011;Juli;79
2011;August;73,5
2011;September;62,2
2011;Oktober;54,9
2011;November;44,9
2011;Dezember;35,2
2012;Januar;30,2
2012;Februar;32,9
2012;März;53,5
2012;April;50,7
2012;Mai;65,6
2012;Juni;74
2012;Juli;81
2012;August;73,3
2012;September;64,1
2012;Oktober;51,5
2012;November;40,5
2012;Dezember;36,1
2013;Januar;26,6
2013;Februar;26,1
2013;März;32,6
2013;April;46,9
2013;Mai;61
2013;Juni;68,5
2013;Juli;73,2
2013;August;73
2013;September;67,2
2013;Oktober;53,1
2013;November;37,5
2013;Dezember;23,3
2014;Januar;15,7
2014;Februar;17,3
2014;März;31,7
2014;April;48,6
2014;Mai;60,4
2014;Juni;70,9
2014;Juli;70,4
2014;August;73,7
2014;September;63,9
2014;Oktober;52
2014;November;33,6
2014;Dezember;32
2015;Januar;22,3
2015;Februar;14,6
2015;März;35,4
2015;April;49,4
2015;Mai;60,4
2015;Juni;67,4
2015;Juli;72,3
2015;August;71,8
2015;September;69
2015;Oktober;54,7
2015;November;44,6
2015;Dezember;39
